Order Date,Sales,Quantity,Discount
2017-04-02,2340.4768,42,1.32
2017-04-09,920.684,18,0.4
2017-04-16,1300.053,36,1.1500000000000001
2017-04-23,1751.5420000000001,48,3.1
2017-04-30,1016.1586,35,1.47
2017-05-07,804.274,10,0.6000000000000001
2017-05-14,2185.8959999999997,29,1.9
2017-05-21,1486.926,23,1.8
2017-05-28,959.3629999999999,23,1.3
2017-06-04,878.9484,31,2.3200000000000003
2017-06-11,998.303,13,0.95
2017-06-18,2771.4015,35,2.15
2017-06-25,1717.378,24,1.0
2017-07-02,1942.395,27,1.55
2017-07-09,1516.356,31,0.9
2017-07-16,1029.545,26,1.0
2017-07-23,1920.128,39,2.1
2017-07-30,1562.432,30,1.5
2017-08-06,505.432,20,0.3
2017-08-13,890.7860000000001,11,0.6000000000000001
2017-08-20,714.052,19,1.1
2017-08-27,1855.792,41,2.0
2017-09-03,2107.395,29,1.1500000000000001
2017-09-10,1647.402,46,2.6
2017-09-17,2405.1800000000003,51,2.1
2017-09-24,2294.687,31,1.3
2017-10-01,1556.71,36,1.5
2017-10-08,1929.988,40,1.9500000000000002
2017-10-15,1513.677,27,2.3
2017-10-22,2545.053,28,1.7000000000000002
2017-10-29,1667.4669999999999,24,0.85
2017-11-05,2732.352,49,3.3000000000000003
2017-11-12,1966.49,52,2.9
2017-11-19,3043.86,55,3.44
2017-11-26,3683.124,66,3.15
2017-12-03,4566.956,72,4.0
2017-12-10,3671.051,78,2.75
2017-12-17,2676.604,41,3.5
2017-12-24,1875.995,40,0.8500000000000001
2017-12-31,2255.6848,50,2.82
